alpha,anomaly_count,positive_count,min_anomaly_hybrid_object,mean_anomaly_hybrid_object,max_positive_hybrid_object,mean_anomaly_separation_gain,strict_pass,soft_pass
0.0,3,5,0.651312,0.701104,0.799581,0.43325,False,False
0.1,3,5,0.702899,0.753773,0.856076,0.444082,False,False
0.25,3,5,0.78496,0.837125,0.94365,0.460329,False,False
0.5,3,5,0.934062,0.988108,1.097702,0.487409,False,False
0.75,3,5,1.098221,1.153498,1.263006,0.514488,False,False
1.0,3,5,1.276239,1.331737,1.439421,0.541568,False,False
